timestamp,sensor_id,dma_code,dma_name,latitude,longitude,pressure,unit,data_class
2026-09-01T00:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.35,mH2O,synthetic
2026-09-01T00:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.46,mH2O,synthetic
2026-09-01T00:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.62,mH2O,synthetic
2026-09-01T00:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.96,mH2O,synthetic
2026-09-01T01:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.96,mH2O,synthetic
2026-09-01T01:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.85,mH2O,synthetic
2026-09-01T01:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.45,mH2O,synthetic
2026-09-01T01:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.5,mH2O,synthetic
2026-09-01T02:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.69,mH2O,synthetic
2026-09-01T02:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.91,mH2O,synthetic
2026-09-01T02:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,45.05,mH2O,synthetic
2026-09-01T02:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,45.33,mH2O,synthetic
2026-09-01T03:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,45.24,mH2O,synthetic
2026-09-01T03:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,45.1,mH2O,synthetic
2026-09-01T03:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.83,mH2O,synthetic
2026-09-01T03:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.65,mH2O,synthetic
2026-09-01T04:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.76,mH2O,synthetic
2026-09-01T04:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.8,mH2O,synthetic
2026-09-01T04:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,44.28,mH2O,synthetic
2026-09-01T04:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.98,mH2O,synthetic
2026-09-01T05:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.82,mH2O,synthetic
2026-09-01T05:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.03,mH2O,synthetic
2026-09-01T05:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.88,mH2O,synthetic
2026-09-01T05:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.61,mH2O,synthetic
2026-09-01T06:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.2,mH2O,synthetic
2026-09-01T06:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,41.44,mH2O,synthetic
2026-09-01T06:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,41.06,mH2O,synthetic
2026-09-01T06:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,40.55,mH2O,synthetic
2026-09-01T07:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,40.28,mH2O,synthetic
2026-09-01T07:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,39.6,mH2O,synthetic
2026-09-01T07:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,39.87,mH2O,synthetic
2026-09-01T07:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,39.48,mH2O,synthetic
2026-09-01T08:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,39.45,mH2O,synthetic
2026-09-01T08:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,40.23,mH2O,synthetic
2026-09-01T08:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,40.57,mH2O,synthetic
2026-09-01T08:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,41.4,mH2O,synthetic
2026-09-01T09:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,41.78,mH2O,synthetic
2026-09-01T09:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,41.74,mH2O,synthetic
2026-09-01T09:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.5,mH2O,synthetic
2026-09-01T09:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.32,mH2O,synthetic
2026-09-01T10:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.69,mH2O,synthetic
2026-09-01T10:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.76,mH2O,synthetic
2026-09-01T10:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.93,mH2O,synthetic
2026-09-01T10:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.13,mH2O,synthetic
2026-09-01T11:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.11,mH2O,synthetic
2026-09-01T11:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.06,mH2O,synthetic
2026-09-01T11:30:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.14,mH2O,synthetic
2026-09-01T11:45:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,43.1,mH2O,synthetic
2026-09-01T12:00:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.86,mH2O,synthetic
2026-09-01T12:15:00,PL-01-IN,1350-00-01-01,東港所琉球鄉本福村等小區計劃-琉球白沙線,22.3424706,120.3730882,42.84,mH2O,synthetic
